Indicator,Year,WHO region,"Countries, territories and areas",Gender,Display Value,Numeric
Healthy life expectancy (HALE) at age 60 (years),2015,South-East Asia,Bhutan,Both,14.4,14.38384
Healthy life expectancy (HALE) at birth (years),2019,South-East Asia,Bhutan,Both,63.4,63.35704
Healthy life expectancy (HALE) at age 60 (years),2015,Africa,Botswana,Male,10.1,10.07099
Healthy life expectancy (HALE) at birth (years),2019,Africa,Botswana,Male,51.9,51.92612
Healthy life expectancy (HALE) at age 60 (years),2015,Africa,Botswana,Female,12.8,12.83744
Healthy life expectancy (HALE) at birth (years),2019,Africa,Botswana,Female,55.8,55.81232
Healthy life expectancy (HALE) at birth (years),2019,Africa,Botswana,Both,53.9,53.88674
Healthy life expectancy (HALE) at age 60 (years),2019,Africa,Botswana,Both,11.8,11.78872
Healthy life expectancy (HALE) at birth (years),2019,Africa,Central African Republic,Male,44.5,44.47889
Healthy life expectancy (HALE) at age 60 (years),2019,Africa,Central African Republic,Male,8.6,8.64297
Healthy life expectancy (HALE) at birth (years),2019,Africa,Central African Republic,Female,48.4,48.44421
Healthy life expectancy (HALE) at age 60 (years),2019,Africa,Central African Republic,Female,11.1,11.13278
Healthy life expectancy (HALE) at birth (years),2000,Africa,Central African Republic,Both,38.7,38.69343
Healthy life expectancy (HALE) at age 60 (years),2019,Africa,Central African Republic,Both,10.0,9.95086
Healthy life expectancy (HALE) at birth (years),2000,Americas,Canada,Male,68.1,68.11279
Healthy life expectancy (HALE) at age 60 (years),2019,Americas,Canada,Male,18.2,18.2056
Healthy life expectancy (HALE) at birth (years),2000,Americas,Canada,Female,70.6,70.64491
Healthy life expectancy (HALE) at birth (years),2000,Americas,Canada,Both,69.4,69.41611
Healthy life expectancy (HALE) at age 60 (years),2000,Americas,Canada,Both,17.3,17.31951
Healthy life expectancy (HALE) at birth (years),2000,Europe,Switzerland,Male,67.9,67.87284
Healthy life expectancy (HALE) at age 60 (years),2000,Europe,Switzerland,Male,16.2,16.22191
Healthy life expectancy (HALE) at birth (years),2000,Europe,Switzerland,Female,70.6,70.56551
Healthy life expectancy (HALE) at age 60 (years),2000,Europe,Switzerland,Female,18.9,18.87354
Healthy life expectancy (HALE) at age 60 (years),2000,Europe,Switzerland,Both,17.7,17.65919
Healthy life expectancy (HALE) at birth (years),2010,Europe,Switzerland,Both,71.4,71.37307
Healthy life expectancy (HALE) at age 60 (years),2000,Americas,Chile,Male,15.1,15.10663
Healthy life expectancy (HALE) at birth (years),2010,Americas,Chile,Male,67.0,67.01514
Healthy life expectancy (HALE) at age 60 (years),2000,Americas,Chile,Female,17.5,17.46758
Healthy life expectancy (HALE) at birth (years),2010,Americas,Chile,Female,69.8,69.82394
Healthy life expectancy (HALE) at birth (years),2010,Americas,Chile,Both,68.5,68.46238
Healthy life expectancy (HALE) at age 60 (years),2010,Americas,Chile,Both,17.2,17.18225
Healthy life expectancy (HALE) at birth (years),2010,Western Pacific,China,Male,65.3,65.34528
Healthy life expectancy (HALE) at age 60 (years),2010,Western Pacific,China,Male,14.0,14.00463
Healthy life expectancy (HALE) at birth (years),2010,Western Pacific,China,Female,68.2,68.22758
Healthy life expectancy (HALE) at age 60 (years),2010,Western Pacific,China,Female,15.9,15.92688
Healthy life expectancy (HALE) at age 60 (years),2010,Western Pacific,China,Both,14.9,14.90901
Healthy life expectancy (HALE) at birth (years),2015,Western Pacific,China,Both,68.0,68.01219
Healthy life expectancy (HALE) at age 60 (years),2010,Africa,Cote d'Ivoire,Male,10.8,10.75251
Healthy life expectancy (HALE) at birth (years),2015,Africa,Cote d'Ivoire,Male,51.3,51.26978
Healthy life expectancy (HALE) at age 60 (years),2010,Africa,Cote d'Ivoire,Female,12.8,12.80973
Healthy life expectancy (HALE) at birth (years),2015,Africa,Cote d'Ivoire,Female,54.1,54.09176
Healthy life expectancy (HALE) at age 60 (years),2015,Africa,Cote d'Ivoire,Female,13.3,13.27322
Healthy life expectancy (HALE) at birth (years),2015,Africa,Cote d'Ivoire,Both,52.5,52.52022
Healthy life expectancy (HALE) at age 60 (years),2015,Africa,Cote d'Ivoire,Both,12.2,12.18187
Healthy life expectancy (HALE) at birth (years),2015,Africa,Cameroon,Male,50.9,50.92047
Healthy life expectancy (HALE) at age 60 (years),2015,Africa,Cameroon,Male,11.4,11.44157
Healthy life expectancy (HALE) at age 60 (years),2015,Africa,Cameroon,Female,13.1,13.06185
Healthy life expectancy (HALE) at birth (years),2019,Africa,Cameroon,Female,55.6,55.60479
Healthy life expectancy (HALE) at age 60 (years),2015,Africa,Cameroon,Both,12.3,12.27554
Healthy life expectancy (HALE) at birth (years),2019,Africa,Cameroon,Both,54.5,54.51807
Healthy life expectancy (HALE) at age 60 (years),2015,Africa,Democratic Republic of the Congo,Male,11.4,11.37692
Healthy life expectancy (HALE) at birth (years),2019,Africa,Democratic Republic of the Congo,Male,52.8,52.81453
Healthy life expectancy (HALE) at birth (years),2019,Africa,Democratic Republic of the Congo,Female,55.4,55.44346
Healthy life expectancy (HALE) at age 60 (years),2019,Africa,Democratic Republic of the Congo,Female,13.4,13.35452
Healthy life expectancy (HALE) at birth (years),2019,Africa,Democratic Republic of the Congo,Both,54.1,54.09277
Healthy life expectancy (HALE) at age 60 (years),2019,Africa,Democratic Republic of the Congo,Both,12.5,12.52959
Healthy life expectancy (HALE) at birth (years),2019,Africa,Congo,Male,56.4,56.35416
Healthy life expectancy (HALE) at age 60 (years),2019,Africa,Congo,Male,11.9,11.90654
Healthy life expectancy (HALE) at age 60 (years),2019,Africa,Congo,Female,12.5,12.54174
Healthy life expectancy (HALE) at birth (years),2000,Africa,Congo,Both,45.4,45.35336
Healthy life expectancy (HALE) at age 60 (years),2019,Africa,Congo,Both,12.2,12.24901
Healthy life expectancy (HALE) at birth (years),2000,Americas,Colombia,Male,61.4,61.41743
Healthy life expectancy (HALE) at age 60 (years),2019,Americas,Colombia,Male,17.1,17.07937
Healthy life expectancy (HALE) at birth (years),2000,Americas,Colombia,Female,66.9,66.90593
Healthy life expectancy (HALE) at birth (years),2000,Americas,Colombia,Both,64.1,64.14087
Healthy life expectancy (HALE) at age 60 (years),2000,Americas,Colombia,Both,16.3,16.25097
Healthy life expectancy (HALE) at birth (years),2000,Africa,Comoros,Male,53.2,53.15047
Healthy life expectancy (HALE) at age 60 (years),2000,Africa,Comoros,Male,11.8,11.7653
Healthy life expectancy (HALE) at birth (years),2000,Africa,Comoros,Female,54.4,54.37717
Healthy life expectancy (HALE) at age 60 (years),2000,Africa,Comoros,Female,12.7,12.69625
Healthy life expectancy (HALE) at birth (years),2010,Africa,Comoros,Female,57.5,57.5336
Healthy life expectancy (HALE) at age 60 (years),2000,Africa,Comoros,Both,12.3,12.25931
Healthy life expectancy (HALE) at birth (years),2010,Africa,Comoros,Both,57.0,56.96704
Healthy life expectancy (HALE) at age 60 (years),2000,Africa,Cabo Verde,Male,14.0,13.97192
Healthy life expectancy (HALE) at birth (years),2010,Africa,Cabo Verde,Male,62.5,62.53066
Healthy life expectancy (HALE) at age 60 (years),2000,Africa,Cabo Verde,Female,16.6,16.56553
Healthy life expectancy (HALE) at birth (years),2010,Africa,Cabo Verde,Female,66.4,66.43116
Healthy life expectancy (HALE) at age 60 (years),2010,Africa,Cabo Verde,Female,17.0,16.99265
Healthy life expectancy (HALE) at birth (years),2010,Africa,Cabo Verde,Both,64.5,64.53008
Healthy life expectancy (HALE) at age 60 (years),2010,Africa,Cabo Verde,Both,16.5,16.54286
Healthy life expectancy (HALE) at birth (years),2010,Americas,Costa Rica,Male,67.9,67.86087
Healthy life expectancy (HALE) at age 60 (years),2010,Americas,Costa Rica,Male,17.2,17.1588
Healthy life expectancy (HALE) at age 60 (years),2010,Americas,Costa Rica,Female,18.9,18.90801
Healthy life expectancy (HALE) at birth (years),2015,Americas,Costa Rica,Female,71.4,71.4407
Healthy life expectancy (HALE) at age 60 (years),2010,Americas,Costa Rica,Both,18.0,18.04996
Healthy life expectancy (HALE) at birth (years),2015,Americas,Costa Rica,Both,70.0,70.03889
Healthy life expectancy (HALE) at age 60 (years),2010,Americas,Cuba,Male,15.5,15.49078
Healthy life expectancy (HALE) at birth (years),2015,Americas,Cuba,Male,66.9,66.92545
Healthy life expectancy (HALE) at birth (years),2015,Americas,Cuba,Female,69.2,69.1933
Healthy life expectancy (HALE) at age 60 (years),2015,Americas,Cuba,Female,17.5,17.48432
Healthy life expectancy (HALE) at birth (years),2015,Americas,Cuba,Both,68.0,68.04575
Healthy life expectancy (HALE) at age 60 (years),2015,Americas,Cuba,Both,16.5,16.52069
Healthy life expectancy (HALE) at birth (years),2015,Europe,Cyprus,Male,70.9,70.8614
Healthy life expectancy (HALE) at age 60 (years),2015,Europe,Cyprus,Male,17.5,17.49859
Healthy life expectancy (HALE) at age 60 (years),2015,Europe,Cyprus,Female,19.4,19.36271
Healthy life expectancy (HALE) at birth (years),2019,Europe,Cyprus,Female,73.0,72.96751
Healthy life expectancy (HALE) at age 60 (years),2015,Europe,Cyprus,Both,18.5,18.45863
Healthy life expectancy (HALE) at birth (years),2019,Europe,Cyprus,Both,72.4,72.41338
Healthy life expectancy (HALE) at age 60 (years),2015,Europe,Czechia,Male,14.3,14.33908
Healthy life expectancy (HALE) at birth (years),2019,Europe,Czechia,Male,67.0,66.97215
Healthy life expectancy (HALE) at birth (years),2019,Europe,Czechia,Female,70.6,70.57385
Healthy life expectancy (HALE) at age 60 (years),2019,Europe,Czechia,Female,17.8,17.75087
Healthy life expectancy (HALE) at birth (years),2019,Europe,Czechia,Both,68.8,68.78941
Healthy life expectancy (HALE) at age 60 (years),2019,Europe,Czechia,Both,16.3,16.32435
Healthy life expectancy (HALE) at birth (years),2019,Europe,Germany,Male,69.7,69.66399
Healthy life expectancy (HALE) at age 60 (years),2019,Europe,Germany,Male,17.0,16.95407
Healthy life expectancy (HALE) at birth (years),2000,Europe,Germany,Female,69.8,69.80727
Healthy life expectancy (HALE) at age 60 (years),2019,Europe,Germany,Female,19.9,19.92312
Healthy life expectancy (HALE) at birth (years),2000,Europe,Germany,Both,68.5,68.46447
Healthy life expectancy (HALE) at age 60 (years),2019,Europe,Germany,Both,18.5,18.46814
Healthy life expectancy (HALE) at birth (years),2000,Eastern Mediterranean,Djibouti,Male,51.8,51.76263
Healthy life expectancy (HALE) at birth (years),2000,Eastern Mediterranean,Djibouti,Female,53.8,53.76836
Healthy life expectancy (HALE) at age 60 (years),2000,Eastern Mediterranean,Djibouti,Female,13.3,13.29891
Healthy life expectancy (HALE) at birth (years),2000,Eastern Mediterranean,Djibouti,Both,52.7,52.72825
Healthy life expectancy (HALE) at age 60 (years),2000,Eastern Mediterranean,Djibouti,Both,12.5,12.45159
Healthy life expectancy (HALE) at birth (years),2000,Europe,Denmark,Male,66.7,66.73137
Healthy life expectancy (HALE) at age 60 (years),2000,Europe,Denmark,Male,15.1,15.05874
Healthy life expectancy (HALE) at age 60 (years),2000,Europe,Denmark,Female,16.8,16.78043
Healthy life expectancy (HALE) at birth (years),2010,Europe,Denmark,Female,70.0,70.02374
Healthy life expectancy (HALE) at age 60 (years),2000,Europe,Denmark,Both,16.0,15.97797
Healthy life expectancy (HALE) at birth (years),2010,Europe,Denmark,Both,69.4,69.41515
Healthy life expectancy (HALE) at age 60 (years),2000,Americas,Dominican Republic,Male,16.1,16.13465
Healthy life expectancy (HALE) at birth (years),2010,Americas,Dominican Republic,Male,62.7,62.73946
Healthy life expectancy (HALE) at birth (years),2010,Americas,Dominican Republic,Female,66.2,66.16849
Healthy life expectancy (HALE) at age 60 (years),2010,Americas,Dominican Republic,Female,17.6,17.6475
Healthy life expectancy (HALE) at birth (years),2010,Americas,Dominican Republic,Both,64.4,64.37589
Healthy life expectancy (HALE) at age 60 (years),2010,Americas,Dominican Republic,Both,16.6,16.62566
Healthy life expectancy (HALE) at birth (years),2010,Africa,Algeria,Male,65.9,65.85155
Healthy life expectancy (HALE) at age 60 (years),2010,Africa,Algeria,Male,15.5,15.54893
Healthy life expectancy (HALE) at age 60 (years),2010,Africa,Algeria,Female,15.7,15.70749
Healthy life expectancy (HALE) at birth (years),2015,Africa,Algeria,Female,65.7,65.6675
Healthy life expectancy (HALE) at age 60 (years),2010,Africa,Algeria,Both,15.6,15.62281
Healthy life expectancy (HALE) at birth (years),2015,Africa,Algeria,Both,66.0,65.98674
Healthy life expectancy (HALE) at age 60 (years),2010,Americas,Ecuador,Male,15.8,15.82621
Healthy life expectancy (HALE) at birth (years),2015,Americas,Ecuador,Male,66.5,66.48226
Healthy life expectancy (HALE) at age 60 (years),2015,Americas,Ecuador,Male,16.5,16.50318
Healthy life expectancy (HALE) at birth (years),2015,Americas,Ecuador,Female,68.5,68.53148
Healthy life expectancy (HALE) at age 60 (years),2015,Americas,Ecuador,Female,17.7,17.71166
Healthy life expectancy (HALE) at birth (years),2015,Americas,Ecuador,Both,67.5,67.49397
Healthy life expectancy (HALE) at age 60 (years),2015,Americas,Ecuador,Both,17.1,17.12249
Healthy life expectancy (HALE) at age 60 (years),2015,Eastern Mediterranean,Egypt,Male,12.2,12.24621
Healthy life expectancy (HALE) at birth (years),2019,Eastern Mediterranean,Egypt,Male,62.3,62.29045
Healthy life expectancy (HALE) at age 60 (years),2015,Eastern Mediterranean,Egypt,Female,13.4,13.40919
Healthy life expectancy (HALE) at birth (years),2019,Eastern Mediterranean,Egypt,Female,63.7,63.68393
Healthy life expectancy (HALE) at age 60 (years),2015,Eastern Mediterranean,Egypt,Both,12.8,12.84039
Healthy life expectancy (HALE) at birth (years),2019,Eastern Mediterranean,Egypt,Both,63.0,62.96765
Healthy life expectancy (HALE) at birth (years),2019,Africa,Eritrea,Male,53.9,53.9131
Healthy life expectancy (HALE) at age 60 (years),2019,Africa,Eritrea,Male,10.4,10.37457
Healthy life expectancy (HALE) at birth (years),2019,Africa,Eritrea,Female,57.7,57.70357
Healthy life expectancy (HALE) at age 60 (years),2019,Africa,Eritrea,Female,12.4,12.41371
Healthy life expectancy (HALE) at birth (years),2019,Africa,Eritrea,Both,55.7,55.73431
Healthy life expectancy (HALE) at age 60 (years),2019,Africa,Eritrea,Both,11.4,11.41067
Healthy life expectancy (HALE) at age 60 (years),2019,Europe,Spain,Male,18.0,17.97789
Healthy life expectancy (HALE) at birth (years),2000,Europe,Spain,Female,71.0,70.98964
Healthy life expectancy (HALE) at age 60 (years),2019,Europe,Spain,Female,20.3,20.3336
Healthy life expectancy (HALE) at birth (years),2000,Europe,Spain,Both,69.1,69.06283
Healthy life expectancy (HALE) at age 60 (years),2019,Europe,Spain,Both,19.2,19.19935
Healthy life expectancy (HALE) at birth (years),2000,Europe,Estonia,Male,58.5,58.54023
Healthy life expectancy (HALE) at birth (years),2000,Europe,Estonia,Female,66.5,66.49778
Healthy life expectancy (HALE) at age 60 (years),2000,Europe,Estonia,Female,16.1,16.0678
Healthy life expectancy (HALE) at birth (years),2000,Europe,Estonia,Both,62.6,62.56221
Healthy life expectancy (HALE) at age 60 (years),2000,Europe,Estonia,Both,14.3,14.26785
Healthy life expectancy (HALE) at birth (years),2000,Africa,Ethiopia,Male,43.9,43.8574
Healthy life expectancy (HALE) at age 60 (years),2000,Africa,Ethiopia,Male,10.2,10.24423
Healthy life expectancy (HALE) at birth (years),2010,Africa,Ethiopia,Male,54.2,54.17543
Healthy life expectancy (HALE) at age 60 (years),2000,Africa,Ethiopia,Female,11.0,10.99494
Healthy life expectancy (HALE) at birth (years),2010,Africa,Ethiopia,Female,55.8,55.76558
Healthy life expectancy (HALE) at age 60 (years),2000,Africa,Ethiopia,Both,10.6,10.61165
Healthy life expectancy (HALE) at birth (years),2010,Africa,Ethiopia,Both,55.0,54.9553
Healthy life expectancy (HALE) at birth (years),2010,Europe,Finland,Male,67.9,67.86093
Healthy life expectancy (HALE) at age 60 (years),2010,Europe,Finland,Male,16.3,16.2897
Healthy life expectancy (HALE) at birth (years),2010,Europe,Finland,Female,71.2,71.2142
Healthy life expectancy (HALE) at age 60 (years),2010,Europe,Finland,Female,19.1,19.12156
Healthy life expectancy (HALE) at birth (years),2010,Europe,Finland,Both,69.6,69.55476
Healthy life expectancy (HALE) at age 60 (years),2010,Europe,Finland,Both,17.8,17.78638
Healthy life expectancy (HALE) at age 60 (years),2010,Western Pacific,Fiji,Male,11.1,11.09623
Healthy life expectancy (HALE) at birth (years),2015,Western Pacific,Fiji,Male,58.6,58.56915
Healthy life expectancy (HALE) at age 60 (years),2010,Western Pacific,Fiji,Female,12.2,12.1823
Healthy life expectancy (HALE) at birth (years),2015,Western Pacific,Fiji,Female,60.7,60.68724
Healthy life expectancy (HALE) at age 60 (years),2010,Western Pacific,Fiji,Both,11.6,11.62712
Healthy life expectancy (HALE) at birth (years),2015,Western Pacific,Fiji,Both,59.6,59.57928
Healthy life expectancy (HALE) at birth (years),2015,Europe,France,Male,70.5,70.46994
Healthy life expectancy (HALE) at age 60 (years),2015,Europe,France,Male,18.2,18.151
Healthy life expectancy (HALE) at birth (years),2015,Europe,France,Female,72.9,72.8742
Healthy life expectancy (HALE) at age 60 (years),2015,Europe,France,Female,20.7,20.67051
Healthy life expectancy (HALE) at birth (years),2015,Europe,France,Both,71.7,71.70189
Healthy life expectancy (HALE) at age 60 (years),2015,Europe,France,Both,19.5,19.4779
Healthy life expectancy (HALE) at age 60 (years),2015,Western Pacific,Micronesia (Federated States of),Male,10.8,10.81366
Healthy life expectancy (HALE) at birth (years),2019,Western Pacific,Micronesia (Federated States of),Male,54.4,54.39523
